No;lnhr;lnwg;kids;age;agesq;disab;id;year;lnhr_diff_1;lnwg_diff_1;kids_diff_1;age_diff_1;agesq_diff_1;disab_diff_1;lnhr_diff_2;lnwg_diff_2;kids_diff_2;age_diff_2;agesq_diff_2;disab_diff_2;lnhr_lag_1;lnhr_lag_2;lnwg_lag_1;lnwg_lag_2;kids_lag_1;kids_lag_2;age_lag_1;age_lag_2;agesq_lag_1;agesq_lag_2;disab_lag_1;disab_lag_2
32;7.7186855;2.43711595;0;23;529;0;4;1980;-0.08106782;0.21141188;0;1;45;0;NA;NA;NA;NA;NA;NA;7.79975332;NA;2.22570407;NA;0;NA;22;NA;484;NA;0;NA
33;7.66152708;2.31747367;0;24;576;0;4;1981;-0.05715842;-0.11964228;0;1;47;0;-0.13822624;0.0917696;0;2;92;0;7.7186855;7.79975332;2.43711595;2.22570407;0;0;23;22;529;484;0;0
34;7.7186855;2.34276687;1;25;625;0;4;1982;0.05715842;0.0252932;1;1;49;0;0;-0.09434908;1;2;96;0;7.66152708;7.7186855;2.31747367;2.43711595;0;0;24;23;576;529;0;0
35;7.8785342;2.28747149;1;26;676;0;4;1983;0.1598487;-0.05529538;0;1;51;0;0.21700712;-0.03000218;1;2;100;0;7.7186855;7.66152708;2.34276687;2.31747367;1;0;25;24;625;576;0;0
36;7.91534817;2.39242576;1;27;729;0;4;1984;0.03681397;0.10495427;0;1;53;0;0.19666267;0.04965889;0;2;104;0;7.8785342;7.7186855;2.28747149;2.34276687;1;1;26;25;676;625;0;0
37;7.84384864;2.20937267;1;28;784;0;4;1985;-0.07149953;-0.18305309;0;1;55;0;-0.03468556;-0.07809882;0;2;108;0;7.91534817;7.8785342;2.39242576;2.28747149;1;1;27;26;729;676;0;0
38;7.9585769;2.14006616;2;29;841;0;4;1986;0.11472826;-0.06930651;1;1;57;0;0.04322873;-0.2523596;1;2;112;0;7.84384864;7.91534817;2.20937267;2.39242576;1;1;28;27;784;729;0;0
39;7.86326672;2.32042504;2;30;900;0;4;1987;-0.09531018;0.18035888;0;1;59;0;0.01941808;0.11105237;1;2;116;0;7.9585769;7.84384864;2.14006616;2.20937267;2;1;29;28;841;784;0;0
40;8.00636757;1.97546896;2;31;961;0;4;1988;0.14310085;-0.34495608;0;1;61;0;0.04779067;-0.1645972;0;2;120;0;7.86326672;7.9585769;2.32042504;2.14006616;2;2;30;29;900;841;0;0
41;7.65254569;2.31253546;3;31;961;0;5;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42;7.85941315;2.43273581;3;33;1089;0;5;1980;0.20686746;0.12020035;0;2;128;0;NA;NA;NA;NA;NA;NA;7.65254569;NA;2.31253546;NA;3;NA;31;NA;961;NA;0;NA
43;7.69984241;2.42833631;3;34;1156;0;5;1981;-0.15957074;-0.0043995;0;1;67;0;0.04729672;0.11580085;0;3;195;0;7.85941315;7.65254569;2.43273581;2.31253546;3;3;33;31;1089;961;0;0
44;7.80302664;2.34180577;3;35;1225;0;5;1982;0.10318423;-0.08653054;0;1;69;0;-0.05638651;-0.09093004;0;2;136;0;7.69984241;7.85941315;2.42833631;2.43273581;3;3;34;33;1156;1089;0;0
45;7.7406644;2.28645573;3;36;1296;0;5;1983;-0.06236224;-0.05535004;0;1;71;0;0.04082199;-0.14188058;0;2;140;0;7.80302664;7.69984241;2.34180577;2.42833631;3;3;35;34;1225;1156;0;0
46;7.71065332;2.539237;3;36;1296;0;5;1984;-0.03001108;0.25278127;0;0;0;0;-0.09237332;0.19743123;0;1;71;0;7.7406644;7.80302664;2.28645573;2.34180577;3;3;36;35;1296;1225;0;0
47;7.77653503;2.55567573;2;38;1444;0;5;1985;0.06588171;0.01643873;-1;2;148;0;0.03587063;0.26922;-1;2;148;0;7.71065332;7.7406644;2.539237;2.28645573;3;3;36;36;1296;1296;0;0
48;7.7406644;2.51122393;2;39;1521;0;5;1986;-0.03587063;-0.0444518;0;1;77;0;0.03001108;-0.02801307;-1;3;225;0;7.77653503;7.71065332;2.55567573;2.539237;2;3;38;36;1444;1296;0;0
49;7.79564654;2.60194865;2;39;1521;0;5;1987;0.05498214;0.09072472;0;0;0;0;0.01911151;0.04627292;0;1;77;0;7.7406644;7.77653503;2.51122393;2.55567573;2;2;39;38;1521;1444;0;0
50;7.73368357;2.56494936;2;41;1681;0;5;1988;-0.06196297;-0.03699929;0;2;160;0;-0.00698083;0.05372543;0;2;160;0;7.79564654;7.7406644;2.60194865;2.51122393;2;2;39;39;1521;1521;0;0
51;7.86172708;2.63691219;2;31;961;0;6;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;7.70661291;2.62684014;2;32;1024;0;6;1980;-0.15511417;-0.01007205;0;1;63;0;NA;NA;NA;NA;NA;NA;7.86172708;NA;2.63691219;NA;2;NA;31;NA;961;NA;0;NA
53;7.74759684;2.6789646;2;33;1089;0;6;1981;0.04098393;0.05212446;0;1;65;0;-0.11413024;0.04205241;0;2;128;0;7.70661291;7.86172708;2.62684014;2.63691219;2;2;32;31;1024;961;0;0
54;7.92298596;2.81241019;2;34;1156;0;6;1982;0.17538912;0.13344559;0;1;67;0;0.21637305;0.18557005;0;2;132;0;7.74759684;7.70661291;2.6789646;2.62684014;2;2;33;32;1089;1024;0;0
55;7.75233516;2.90416508;2;36;1296;0;6;1983;-0.1706508;0.09175489;0;2;140;0;0.00473832;0.22520048;0;3;207;0;7.92298596;7.74759684;2.81241019;2.6789646;2;2;34;33;1156;1089;0;0
56;7.6778635;2.73825605;2;36;1296;0;6;1984;-0.07447166;-0.16590903;0;0;0;0;-0.24512246;-0.07415414;0;2;140;0;7.75233516;7.92298596;2.90416508;2.81241019;2;2;36;34;1296;1156;0;0
57;7.70300768;2.88256361;2;37;1369;0;6;1985;0.02514418;0.14430756;0;1;73;0;-0.04932748;-0.02160147;0;1;73;0;7.6778635;7.75233516;2.73825605;2.90416508;2;2;36;36;1296;1296;0;0
58;7.88231492;2.58173085;2;38;1444;0;6;1986;0.17930724;-0.30083276;0;1;75;0;0.20445142;-0.1565252;0;2;148;0;7.70300768;7.6778635;2.88256361;2.73825605;2;2;37;36;1369;1296;0;0
59;7.77106709;2.83497653;2;39;1521;0;6;1987;-0.11124783;0.25324568;0;1;77;0;0.06805941;-0.04758708;0;2;152;0;7.88231492;7.70300768;2.58173085;2.88256361;2;2;38;37;1444;1369;0;0
60;7.6861623;2.76064268;1;40;1600;0;6;1988;-0.08490479;-0.07433385;-1;1;79;0;-0.19615262;0.17891183;-1;2;156;0;7.77106709;7.88231492;2.83497653;2.58173085;2;2;39;38;1521;1444;0;0
61;8.28803157;2.49320548;4;43;1849;0;7;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
62;8.02486215;2.52091705;3;44;1936;0;7;1980;-0.26316942;0.02771157;-1;1;87;0;NA;NA;NA;NA;NA;NA;8.28803157;NA;2.49320548;NA;4;NA;43;NA;1849;NA;0;NA
63;8.22362718;2.1690537;3;46;2116;0;7;1981;0.19876503;-0.35186335;0;2;180;0;-0.06440439;-0.32415178;-1;3;267;0;8.02486215;8.28803157;2.52091705;2.49320548;3;4;44;43;1936;1849;0;0
64;8.25530881;2.49732914;2;46;2116;0;7;1982;0.03168163;0.32827544;-1;0;0;0;0.23044666;-0.02358791;-1;2;180;0;8.22362718;8.02486215;2.1690537;2.52091705;3;3;46;44;2116;1936;0;0
65;8.2809644;2.11142462;2;47;2209;0;7;1983;0.02565559;-0.38590452;0;1;93;0;0.05733722;-0.05762908;-1;1;93;0;8.25530881;8.22362718;2.49732914;2.1690537;2;3;46;46;2116;2116;0;0
66;8.25114214;2.22678343;2;48;2304;0;7;1984;-0.02982226;0.11535881;0;1;95;0;-0.00416667;-0.27054571;0;2;188;0;8.2809644;8.25530881;2.11142462;2.49732914;2;2;47;46;2209;2116;0;0
67;8.02747653;2.36085404;2;50;2500;0;7;1985;-0.22366561;0.13407061;0;2;196;0;-0.25348787;0.24942942;0;3;291;0;8.25114214;8.2809644;2.22678343;2.11142462;2;2;48;47;2304;2209;0;0
68;8.36543964;2.23001442;2;50;2500;0;7;1986;0.33796311;-0.13083962;0;0;0;0;0.1142975;0.00323099;0;2;196;0;8.02747653;8.25114214;2.36085404;2.22678343;2;2;50;48;2500;2304;0;0
69;8.25764496;2.06178662;2;52;2704;0;7;1987;-0.10779468;-0.1682278;0;2;204;0;0.23016843;-0.29906742;0;2;204;0;8.36543964;8.02747653;2.23001442;2.36085404;2;2;50;50;2500;2500;0;0
70;8.35420356;2.44581926;2;53;2809;0;7;1988;0.0965586;0.38403264;0;1;105;0;-0.01123608;0.21580484;0;3;309;0;8.25764496;8.36543964;2.06178662;2.23001442;2;2;52;50;2704;2500;0;0
71;7.51752085;2.22893855;1;37;1369;0;8;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;7.54538975;2.20497223;1;38;1444;0;8;1980;0.0278689;-0.02396632;0;1;75;0;NA;NA;NA;NA;NA;NA;7.51752085;NA;2.22893855;NA;1;NA;37;NA;1369;NA;0;NA
73;7.53315881;2.17702184;1;39;1521;0;8;1981;-0.01223094;-0.02795039;0;1;77;0;0.01563796;-0.05191671;0;2;152;0;7.54538975;7.51752085;2.20497223;2.22893855;1;1;38;37;1444;1369;0;0
74;7.55590509;2.16791016;1;40;1600;0;8;1982;0.02274628;-0.00911168;0;1;79;0;0.01051534;-0.03706207;0;2;156;0;7.53315881;7.54538975;2.17702184;2.20497223;1;1;39;38;1521;1444;0;0
75;7.60887063;1.98924327;1;41;1681;0;8;1983;0.05296554;-0.17866689;0;1;81;0;0.07571182;-0.18777857;0;2;160;0;7.55590509;7.53315881;2.16791016;2.17702184;1;1;40;39;1600;1521;0;0
76;7.70526247;2.16791016;1;42;1764;0;8;1984;0.09639184;0.17866689;0;1;83;0;0.14935738;0;0;2;164;0;7.60887063;7.55590509;1.98924327;2.16791016;1;1;41;40;1681;1600;0;0
77;7.42177579;2.17019593;1;43;1849;0;8;1985;-0.28348668;0.00228577;0;1;85;0;-0.18709484;0.18095266;0;2;168;0;7.70526247;7.60887063;2.16791016;1.98924327;1;1;42;41;1764;1681;0;0
78;7.59488439;2.15176225;1;44;1936;0;8;1986;0.1731086;-0.01843368;0;1;87;0;-0.11037808;-0.01614791;0;2;172;0;7.42177579;7.70526247;2.17019593;2.16791016;1;1;43;42;1849;1764;0;0
79;7.60887063;2.17928689;1;45;2025;0;8;1987;0.01398624;0.02752464;0;1;89;0;0.18709484;0.00909096;0;2;176;0;7.59488439;7.42177579;2.15176225;2.17019593;1;1;44;43;1936;1849;0;0
80;7.68708016;2.18380157;0;46;2116;0;8;1988;0.07820953;0.00451468;-1;1;91;0;0.09219577;0.03203932;-1;2;180;0;7.60887063;7.59488439;2.17928689;2.15176225;1;1;45;44;2025;1936;0;0
81;7.47306909;2.35327825;1;27;729;0;9;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
82;7.56682848;2.35232721;1;28;784;0;9;1980;0.09375939;-0.00095104;0;1;55;0;NA;NA;NA;NA;NA;NA;7.47306909;NA;2.35327825;NA;1;NA;27;NA;729;NA;0;NA
83;7.24992554;2.3446863;1;29;841;0;9;1981;-0.31690294;-0.00764091;0;1;57;0;-0.22314355;-0.00859195;0;2;112;0;7.56682848;7.47306909;2.35232721;2.35327825;1;1;28;27;784;729;0;0
84;7.38274645;2.38508628;2;29;841;0;9;1982;0.13282091;0.04039998;1;0;0;0;-0.18408203;0.03275907;1;1;57;0;7.24992554;7.56682848;2.3446863;2.35232721;1;1;29;28;841;784;0;0
85;7.30451595;2.47821767;2;31;961;0;9;1983;-0.0782305;0.09313139;0;2;120;0;0.05459041;0.13353137;1;2;120;0;7.38274645;7.24992554;2.38508628;2.3446863;2;1;29;29;841;841;0;0
86;7.60936654;2.49979529;2;32;1024;0;9;1984;0.30485059;0.02157762;0;1;63;0;0.22662009;0.11470901;0;3;183;0;7.30451595;7.38274645;2.47821767;2.38508628;2;2;31;29;961;841;0;0
87;7.54538975;2.64119788;2;33;1089;0;9;1985;-0.06397679;0.14140259;0;1;65;0;0.2408738;0.16298021;0;2;128;0;7.60936654;7.30451595;2.49979529;2.47821767;2;2;32;31;1024;961;0;0
88;7.56216163;2.61227325;2;33;1089;0;9;1986;0.01677188;-0.02892463;0;0;0;0;-0.04720491;0.11247796;0;1;65;0;7.54538975;7.60936654;2.64119788;2.49979529;2;2;33;32;1089;1024;0;0
89;7.59789795;2.66930939;2;35;1225;0;9;1987;0.03573632;0.05703614;0;2;136;0;0.0525082;0.02811151;0;2;136;0;7.56216163;7.54538975;2.61227325;2.64119788;2;2;33;33;1089;1089;0;0
90;7.66809371;2.79116506;2;36;1296;0;9;1988;0.07019576;0.12185567;0;1;71;0;0.10593208;0.17889181;0;3;207;0;7.59789795;7.56216163;2.66930939;2.61227325;2;2;35;33;1225;1089;0;0
91;7.54960917;2.82375702;0;46;2116;0;10;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;7.68340368;2.87016902;0;47;2209;0;10;1980;0.13379451;0.046412;0;1;93;0;NA;NA;NA;NA;NA;NA;7.54960917;NA;2.82375702;NA;0;NA;46;NA;2116;NA;0;NA
93;6.58755001;2.85933969;0;48;2304;0;10;1981;-1.09585367;-0.01082933;0;1;95;0;-0.96205916;0.03558267;0;2;188;0;7.68340368;7.54960917;2.87016902;2.82375702;0;0;47;46;2209;2116;0;0
94;7.73193072;2.88981604;0;49;2401;0;10;1982;1.14438071;0.03047635;0;1;97;0;0.04852704;0.01964702;0;2;192;0;6.58755001;7.68340368;2.85933969;2.87016902;0;0;48;47;2304;2209;0;0
95;7.63530389;2.90087202;0;50;2500;0;10;1983;-0.09662683;0.01105598;0;1;99;0;1.04775388;0.04153233;0;2;196;0;7.73193072;6.58755001;2.88981604;2.85933969;0;0;49;48;2401;2304;0;0
96;7.72753511;2.90032211;0;51;2601;0;10;1984;0.09223122;-0.00054991;0;1;101;0;-0.00439561;0.01050607;0;2;200;0;7.63530389;7.73193072;2.90087202;2.88981604;0;0;50;49;2500;2401;0;0
97;7.7186855;2.93332486;0;52;2704;0;10;1985;-0.00884961;0.03300275;0;1;103;0;0.08338161;0.03245284;0;2;204;0;7.72753511;7.63530389;2.90032211;2.90087202;0;0;51;50;2601;2500;0;0
98;7.63530389;2.92959243;0;53;2809;0;10;1986;-0.08338161;-0.00373243;0;1;105;0;-0.09223122;0.02927032;0;2;208;0;7.7186855;7.72753511;2.93332486;2.90032211;0;0;52;51;2704;2601;0;0
99;7.62070509;2.84432785;0;54;2916;0;10;1987;-0.0145988;-0.08526458;0;1;107;0;-0.09798041;-0.08899701;0;2;212;0;7.63530389;7.7186855;2.92959243;2.93332486;0;0;53;52;2809;2704;0;0
100;7.7406644;2.92852356;0;55;3025;0;10;1988;0.11995931;0.08419571;0;1;109;0;0.10536051;-0.00106887;0;2;216;0;7.62070509;7.63530389;2.84432785;2.92959243;0;0;54;53;2916;2809;0;0
101;7.7186855;2.27829242;1;22;484;0;11;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;7.60090246;2.27624109;2;23;529;0;11;1980;-0.11778304;-0.00205133;1;1;45;0;NA;NA;NA;NA;NA;NA;7.7186855;NA;2.27829242;NA;1;NA;22;NA;484;NA;0;NA
103;7.62070509;2.28238241;2;24;576;0;11;1981;0.01980263;0.00614132;0;1;47;0;-0.09798041;0.00408999;1;2;92;0;7.60090246;7.7186855;2.27624109;2.27829242;2;1;23;22;529;484;0;0
104;7.61579107;2.30757265;2;25;625;0;11;1982;-0.00491402;0.02519024;0;1;49;0;0.01488861;0.03133156;0;2;96;0;7.62070509;7.60090246;2.28238241;2.27624109;2;2;24;23;576;529;0;0
105;7.59287029;2.21046979;2;26;676;0;11;1983;-0.02292078;-0.09710286;0;1;51;0;-0.0278348;-0.07191262;0;2;100;0;7.61579107;7.62070509;2.30757265;2.28238241;2;2;25;24;625;576;0;0
106;7.60090246;2.98163331;3;27;729;0;11;1984;0.00803217;0.77116352;1;1;53;0;-0.01488861;0.67406066;1;2;104;0;7.59287029;7.61579107;2.21046979;2.30757265;2;2;26;25;676;625;0;0
107;7.64012317;2.98517681;3;28;784;0;11;1985;0.03922071;0.0035435;0;1;55;0;0.04725288;0.77470702;1;2;108;0;7.60090246;7.59287029;2.98163331;2.21046979;3;2;27;26;729;676;0;0
108;7.60090246;2.97450863;3;29;841;0;11;1986;-0.03922071;-0.01066818;0;1;57;0;0;-0.00712468;0;2;112;0;7.64012317;7.60090246;2.98517681;2.98163331;3;3;28;27;784;729;0;0
109;7.62070509;2.94391251;3;30;900;0;11;1987;0.01980263;-0.03059612;0;1;59;0;-0.01941808;-0.0412643;0;2;116;0;7.60090246;7.64012317;2.97450863;2.98517681;3;3;29;28;841;784;0;0
110;7.6362696;3.00914198;3;31;961;0;11;1988;0.01556451;0.06522947;0;1;61;0;0.03536714;0.03463335;0;2;120;0;7.62070509;7.60090246;2.94391251;2.97450863;3;3;30;29;900;841;0;0
111;7.61579107;2.73436748;0;28;784;0;12;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
112;7.61085279;2.7625384;0;29;841;0;12;1980;-0.00493828;0.02817092;0;1;57;0;NA;NA;NA;NA;NA;NA;7.61579107;NA;2.73436748;NA;0;NA;28;NA;784;NA;0;NA
113;7.66434663;2.75174806;0;30;900;0;12;1981;0.05349384;-0.01079034;0;1;59;0;0.04855556;0.01738058;0;2;116;0;7.61085279;7.61579107;2.7625384;2.73436748;0;0;29;28;841;784;0;0
114;7.52563998;2.74084002;0;32;1024;0;12;1982;-0.13870665;-0.01090804;0;2;124;0;-0.08521281;-0.02169838;0;3;183;0;7.66434663;7.61085279;2.75174806;2.7625384;0;0;30;29;900;841;0;0
115;7.28961052;2.85876645;0;32;1024;0;12;1983;-0.23602946;0.11792643;0;0;0;0;-0.37473611;0.10701839;0;2;124;0;7.52563998;7.66434663;2.74084002;2.75174806;0;0;32;30;1024;900;0;0
116;7.91971976;2.76569;0;32;1024;0;12;1984;0.63010924;-0.09307645;0;0;0;0;0.39407978;0.02484998;0;0;0;0;7.28961052;7.52563998;2.85876645;2.74084002;0;0;32;32;1024;1024;0;0
117;7.86326672;2.68239045;2;34;1156;0;12;1985;-0.05645304;-0.08329955;2;2;132;0;0.5736562;-0.176376;2;2;132;0;7.91971976;7.28961052;2.76569;2.85876645;0;0;32;32;1024;1024;0;0
118;7.85554468;2.55645184;2;35;1225;0;12;1986;-0.00772204;-0.12593861;0;1;69;0;-0.06417508;-0.20923816;2;3;201;0;7.86326672;7.91971976;2.68239045;2.76569;2;0;34;32;1156;1024;0;0
119;7.78862607;2.52572864;3;36;1296;0;12;1987;-0.06691861;-0.0307232;1;1;71;0;-0.07464065;-0.15666181;1;2;140;0;7.85554468;7.86326672;2.55645184;2.68239045;2;2;35;34;1225;1156;0;0
120;7.88983375;2.63905733;3;37;1369;0;12;1988;0.10120768;0.11332869;0;1;73;0;0.03428907;0.08260549;1;2;144;0;7.78862607;7.85554468;2.52572864;2.55645184;3;2;36;35;1296;1225;0;0
121;7.76217061;2.64900768;1;41;1681;0;13;1979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;8.09864284;2.55256531;1;42;1764;0;13;1980;0.33647223;-0.09644237;0;1;83;0;NA;NA;NA;NA;NA;NA;7.76217061;NA;2.64900768;NA;1;NA;41;NA;1681;NA;0;NA
123;7.94449216;2.68375753;1;43;1849;0;13;1981;-0.15415068;0.13119222;0;1;85;0;0.18232155;0.03474985;0;2;168;0;8.09864284;7.76217061;2.55256531;2.64900768;1;1;42;41;1764;1681;0;0
124;8.08147504;2.69867302;1;44;1936;0;13;1982;0.13698288;0.01491549;0;1;87;0;-0.0171678;0.14610771;0;2;172;0;7.94449216;8.09864284;2.68375753;2.55256531;1;1;43;42;1849;1764;0;0
